OBJECTID,Id_Jardin,Nombre,Barrio,Tipologia,Area,Zona,Distrito_Municipal,geo_point_2d
1691,99110804,ARCHIDUQUE CARLOS C - JOSE MARIA MORTES LERMA C,VARA DE QUART,Jardines,1433.74184895,SUR,PATRAIX,"39.462794512337844, -0.39774498133120995"
1694,99110810,CAMPOS CRESPO C - DOCTOR MARAÑON C,SAFRANAR,Jardines,523.576577495,SUR,PATRAIX,"39.45635069779395, -0.3925896349656605"
1698,99110707,BARRIO DE LA LUZ,LLUM,Jardines,5763.606538355,SUR,OLIVERETA,"39.46815444019787, -0.4148693853288615"
1704,99110723,MAGUNCIA PL,TRES FORQUES,Jardines,7650.04344554,SUR,OLIVERETA,"39.4655900921641, -0.4018147753675782"
1705,99110925,MORA DE RUBIELOS C,RAIOSA,Acompañamiento Viario,138.03138731,SUR,JESUS,"39.45877149275647, -0.3848764722967408"
1713,99111939,CASTILLO DE JERICA PL,TORREFIEL,Jardines,761.66696344,SUR,RASCANYA,"39.435250396431066, -0.39313006377463966"
1724,99121622,VIP,CIUTAT FALLERA,Parques Urbanos,7854.98476543,NORTE,BENICALAP,"39.49790929413658, -0.4011259673024675"
1726,99111050,PLATA AV (MEDIANA),NA ROVELLA,Acompañamiento Viario,7472.931581895,SUR,QUATRE CARRERES,"39.4549483144782, -0.36736311940702854"
1727,99111006,PROFESOR LOPEZ PIÑERO AV - CIUDAD CIENCIAS,CIUTAT DE LES ARTS I DE LES CIENCIES,Acompañamiento Viario,20812.813164875,SUR,QUATRE CARRERES,"39.45544022278914, -0.3547616606588178"
1728,99122012,JARDIN DEL TURIA (TRAMO 12),CAUCE DEL TURIA,Parques Urbanos,160625.904311425,TURIA,CAUCE DEL TURIA,"39.46016782655804, -0.35720282412342896"
1734,99110137,VICENTE IBORRA PL,CARME,Jardines,1167.998701355,SUR,CIUTAT VELLA,"39.47706383510234, -0.38149929809481825"
1745,99110738,SURERES C,LLUM,Acompañamiento Viario,370.816735455,SUR,OLIVERETA,"39.468885077663344, -0.4128020033894049"
1943,99101213,Pintor Nicolau Pl,AIORA,Jardines,989.044835635,NORTE,CAMINS AL GRAU,"39.46630709322029, -0.3486622390240797"
1755,99111034,PEPITA SAMPER C ZAPADORES C,MONT-OLIVET,Jardines,807.031581145,SUR,QUATRE CARRERES,"39.459281426473964, -0.36857393813611333"
1758,99120331,GV FERNANDO EL CATOLICO,PETXINA,Parques Urbanos,20509.834542245,SUR,EXTRAMURS,"39.473436316757635, -0.38723761004878204"
1763,99111041,PACO PIERRA C,NA ROVELLA,Jardines,1573.902749025,SUR,QUATRE CARRERES,"39.45013606652759, -0.3673900924338648"
1764,99101346,JARDÍN CENTRAL (CAMPUS TARONGERS),LA CARRASCA,Parques Urbanos,25933.0796127,NORTE,ALGIROS,"39.47677239505507, -0.3434950600325148"
