Zona,Lat,Lon,KEY
"LLANO DE LA ZAIDIA, Nº 15 (de Pte. de San José a Av.Constitución)",39.4831145,-0.3798013,257
"LLANO DE LA ZAIDIA, Nº 14 (de Av. Constitución a Dr. Oloriz)",39.483115,-0.3796542,258
"LLANO DE ZAIDIA, Nº 1 (de Visitación a Av. Constitución)",39.483107,-0.3776412,259
"AV. CONSTITUCIÓN, Nº 23 (de Málaga a Lérida)",39.4846651,-0.3788671,260
"POETA MONMENEU, Nº 16 (de Guadalaviar a Sagunto)",39.4829952,-0.3766791,261
"GUADALAVIAR, Nº 3 (de Pl. Sta. Mónica a Visitación)",39.4820975,-0.3754791,262
"SAGUNTO, Nº 4 (de Pl. Sta. Mónica a Poeta Monmeneu)",39.4819716,-0.3748759,263
"GUADALAVIAR, Nº 6 (de Llano de la Zaidia a Pte. Serranos)",39.4822834,-0.3759265,264
"ALMAZORA, Nº 4 (de Poeta Bodria a Pintor Vilar)",39.4818283,-0.3727176,265
"PINTOR VILAR, Nº 2 (de Almazora a Alboraya)",39.4822214,-0.3719305,266
"PINTOR VILAR, Nº 1 (de Alboraya a Almazora)",39.4823747,-0.3713303,267
"ALMAZORA, Nº 16 (de Pintor a Convento Carmelitas)",39.4843621,-0.3716986,268
"CONVENTO CARMELITAS, Nº 2 (de Almazora a Alboraya)",39.4831233,-0.3705576,269
